ID,title,currency,price,location,meters,image,links
1,"Casa Antigüa Totalmente Reciclada, 4 Ambientes, Depend, Patio. Excelente Ubicación.",US$,230000,"Pedro Ignacio Rivera Al 3500, Coghlan, Capital Federal",95.0,https://http2.mlstatic.com/D_NQ_NP_2X_631816-MLA80915959164_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1971254908-casa-antigua-totalmente-reciclada-4-ambientes-depend-patio-excelente-ubicacion-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
2,Dueño Directo Hermoso Ph En Saavedra Super Luminoso Listo Para Habitar Con Increíble Terraza Pulmón De Manzana,US$,249000,"Machaín 4146, Saavedra, Capital Federal",100.0,https://http2.mlstatic.com/D_NQ_NP_2X_974390-MLA78682826311_082024-E.webp,https://casa.mercadolibre.com.ar/MLA-1499819409-dueno-directo-hermoso-ph-en-saavedra-super-luminoso-listo-para-habitar-con-increible-terraza-pulmon-de-manzana-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
3,"Casa En Venta 4 Amb   Escritorio,  Con Patio Y Terraza - Martinez",US$,200000,"Sargento Cabral Al 2700, Martínez, San Isidro, Bs.As. G.B.A. Norte",130.0,https://http2.mlstatic.com/D_NQ_NP_2X_749453-MLA81182210979_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1971254930-casa-en-venta-4-amb-escritorio-con-patio-y-terraza-martinez-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
4,Casa En  Parque Chas,US$,350000,"Benjamin Victorica  Al 2500, Parque Chas, Capital Federal",110.0,https://http2.mlstatic.com/D_NQ_NP_2X_608754-MLA83974456999_042025-E.webp,https://casa.mercadolibre.com.ar/MLA-2060638800-casa-en-parque-chas-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
5,"Muy Lindo Y Original Chalet, Sobre Lote De 310 M2.",US$,209000,"Rivera Al 1400, Villa Adelina, San Isidro, Bs.As. G.B.A. Norte",120.0,https://http2.mlstatic.com/D_NQ_NP_2X_891071-MLA80915946858_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1971306890-muy-lindo-y-original-chalet-sobre-lote-de-310-m2-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
6,"Departamento 3 Ambientes En Venta En Chateau Del Palmar, Nordelta, 2 Cocheras, Baulera Y Depósito!.",US$,210000,"Barrio El Palmar, Nordelta 0, Nordelta, Tigre, Bs.As. G.B.A. Norte",115.0,https://http2.mlstatic.com/D_NQ_NP_2X_731750-MLA81363487067_122024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1464992509-departamento-3-ambientes-en-venta-en-chateau-del-palmar-nordelta-2-cocheras-baulera-y-deposito-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
7,"Venta Casa 5 Ambientes, Victoria Con Jardín Y Cochera",US$,248000,"Ingeniero White 1400, Victoria, San Fernando, Bs.As. G.B.A. Norte",289.0,https://http2.mlstatic.com/D_NQ_NP_2X_749207-MLA85128317929_052025-E.webp,https://casa.mercadolibre.com.ar/MLA-1882858728-venta-casa-5-ambientes-victoria-con-jardin-y-cochera-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
8,"Excelente Casa De Dos Años De Antigüedad, En Dos Plantas Con Jardín - Martínez",US$,310000,"Husares Al 800, San Isidro, Bs.As. G.B.A. Norte",140.0,https://http2.mlstatic.com/D_NQ_NP_2X_996899-MLA80915947072_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1971345810-excelente-casa-de-dos-anos-de-antiguedad-en-dos-plantas-con-jardin-martinez-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
9,Del Barco Centenera 670,US$,240000,"Del Barco Centenera 670, Caballito, Capital Federal",74.0,https://http2.mlstatic.com/D_NQ_NP_2X_805627-MLA75598976100_042024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1739308868-del-barco-centenera-670-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
10,Venta Departamento 5 Ambientes Ph Reciclado Con Terraza Parque Chacabuco,US$,240000,"Bilbao Francisco Al 1500, Parque Chacabuco, Capital Federal",84.0,https://http2.mlstatic.com/D_NQ_NP_2X_735439-MLA81813103769_012025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1470306127-venta-departamento-5-ambientes-ph-reciclado-con-terraza-parque-chacabuco-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=c4dad8d0-dca6-4cd4-ad74-52e36d1ae479
