ID,title,currency,price,location,image,links
13,Libertador 6328,US$,171450,"Av. Del Libertador  6328, Belgrano, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1899415778-libertador-6328-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
14,Terreno En Venta En Chacras Del Paraná,US$,45000,"Zárate, Buenos Aires Interior","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1898242094-terreno-en-venta-en-chacras-del-parana-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
15,"Vendo Lote De Terreno En Villa Ciudad De América, Sierras De Córdoba",US$,16500,"6F8M+VM La Estancia, Córdoba, Argentina, Villa Ciudad De América, Santa María, Córdoba","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1447268721-vendo-lote-de-terreno-en-villa-ciudad-de-america-sierras-de-cordoba-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
16,Casas Y Terrenos En Santa Ana | Villa Nueva | Tigre,US$,136000,"Casas Y Terrenos En SANTA ANA | VILLA NUEVA | TIGRE, Villa Nueva, Tigre, Bs.As. G.B.A. Norte","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1448149213-casas-y-terrenos-en-santa-ana-villa-nueva-tigre-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
17,Venta Dpto 2 Amb Barracas Luminoso,US$,59000,"Coronel Salvadores 1400, Barracas, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1446898733-venta-dpto-2-amb-barracas-luminoso-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
18,Edificio - Palermo Hollywood,US$,180000,"Gorriti 6072, Palermo Hollywood, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1446809717-edificio-palermo-hollywood-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
19,La Guillermina - Jose Hernandez 1600 - Terrenos - Funes Santa Fe ,US$,72234,"Jose Hernandez  1600, Funes, Santa Fe","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1448298973-la-guillermina-jose-hernandez-1600-terrenos-funes-santa-fe-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
20,Cabildo Workplace,US$,94508,"Av. Cabildo  1370, Colegiales, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1899415774-cabildo-workplace-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
21,Muy Linda Casa En Venta Multifamiliar En Munro ,US$,165000,"Ramón B. Castro 4500, Munro, Vicente López, Bs.As. G.B.A. Norte","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1901270622-muy-linda-casa-en-venta-multifamiliar-en-munro-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
22,Se Venden Departamentos En B° Nueva Italia,US$,69000,"Victor Manuel Ill, Nueva Italia, Córdoba","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1447477755-se-venden-departamentos-en-b-nueva-italia-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
23,Edificio - Fisherton,US$,23100,"WILDE 455 BIS, Fisherton, Rosario, Santa Fe","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1901687142-edificio-fisherton-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
24,Departamento 3 Ambientes A Metros Cancha De Racing,US$,46900,"Alsina 400, Avellaneda, Bs.As. G.B.A. Sur","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1448316377-departamento-3-ambientes-a-metros-cancha-de-racing-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
25,Venta Dos Ambientes Cochera Torre Metropolitan ,US$,149000,"Charlone 500, Colegiales, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1899524852-venta-dos-ambientes-cochera-torre-metropolitan-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
26,Edificio - Centro,US$,21252,"Salta Al 1200, Rosario, Santa Fe","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1899446558-edificio-centro-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
27,La Finca Ii - Funes,US$,66880,"Miguel Galindo Y Vélez Sarsfield, Funes, Santa Fe","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1448292661-la-finca-ii-funes-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
28,Venta Lote - Barrio  Privado El Aljibe / Pilar - Escritura,US$,68000,"Venta Lote - Barrio  Privado El Aljibe / Pilar - Escritura, El Aljibe, Pilar, Bs.As. G.B.A. Norte","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1446777639-venta-lote-barrio-privado-el-aljibe-pilar-escritura-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
29,Venta Departamento De 1 Ambiente Con Balcon Saliente A Metros De Av Constitucion - Mar Del Plata,US$,49900,"Valencia Al 4100, Constitución, Mar Del Plata, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1901490654-venta-departamento-de-1-ambiente-con-balcon-saliente-a-metros-de-av-constitucion-mar-del-plata-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
30,Reservado Departamento En Venta 2 Ambientes  Mar Del Plata ,US$,53900,"Moreno Al 2400. Entre Santa Fe Y Santiago Del Estero, Centro, Mar Del Plata, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1900109216-reservado-departamento-en-venta-2-ambientes-mar-del-plata-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
31, Depto 4 Ambientes Venta - Apto Credito -barrio Norte . Con Baulera,US$,189000,"Santa Fe 2800, Barrio Norte, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1902023434-depto-4-ambientes-venta-apto-credito-barrio-norte-con-baulera-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
32,Venta Casa 4 Ambientes Ituzaingo Barrio Cerrado,US$,169900,"Malabia José Piso Pb Dpto 6 1100, Ituzaingó, Bs.As. G.B.A. Oeste","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1448052573-venta-casa-4-ambientes-ituzaingo-barrio-cerrado-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
33,Venta Departamento 1 Ambiente Reciclado Y Amoblado - Güemes Mar Del Plata,US$,59900,"Alsina Al 2600, Güemes, Mar Del Plata, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1448196369-venta-departamento-1-ambiente-reciclado-y-amoblado-guemes-mar-del-plata-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
34,Venta Departamento En Tigre Centro | Dos Ambientes Al Frente,US$,112921,"Departamento EN  Venta EN Tigre Centro | DOS Ambientes AL Frente, Tigre, Bs.As. G.B.A. Norte","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1901270836-venta-departamento-en-tigre-centro-dos-ambientes-al-frente-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
35,Departamento En  Venta 3 Ambientes Pinamar,US$,85000,"Edificio Torremolinos Libertador Y Simbad El Marino, Centro, Pinamar, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1902941496-departamento-en-venta-3-ambientes-pinamar-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
36,Departamento De 2 Ambientes En Venta Caseros 3f -clamaco Sa,US$,65000,"BELGRANO Al 4600. Entre Av. San Martin Y David Magalena, Caseros, Bs.As. G.B.A. Oeste","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447415245-departamento-de-2-ambientes-en-venta-caseros-3f-clamaco-sa-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
37,Departamento En  Venta 3 Ambientes Pinamar,US$,85000,"Edificio Torremolinos Libertador Y Simbad El Marino, Linea Sur Mar, Pinamar, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1903119548-departamento-en-venta-3-ambientes-pinamar-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
38,Departamento - Venta - Palermo - Jardín Botánico - Apto Crédito,US$,132000,"Uriarte 2400, Palermo, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1902025470-departamento-venta-palermo-jardin-botanico-apto-credito-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
39,Venta Ph  Cuatro 4 Ambientes  Entrada Independiente La Paternal  Apto Credito ,US$,95000,"Cucha Cucha 2600, Paternal, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1446877409-venta-ph-cuatro-4-ambientes-entrada-independiente-la-paternal-apto-credito-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
40,Ph 4 Ambientes Floresta Jardin Quincho Sin Expensa,US$,89990,"Bermúdez 100, Velez Sarsfield, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1898152070-ph-4-ambientes-floresta-jardin-quincho-sin-expensa-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
41,Departamento  Apto Crédito 3 Ambientes En Monserrat,US$,95000,"Chile 1500, Monserrat, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447047661-departamento-apto-credito-3-ambientes-en-monserrat-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
